StationName,StationCode,LocationCode,Date,Phylum,Class,Orders,Family,Genus,Species,Counts,BAResult,Unit,CollectionMethod,Program,Project,regional_board,rb_number,Latitude,Longitude,Datum,Subregion,geometry
Suisun Bay (SU073S),SU073S,OpenWater1,2010-02-09,Mollusca,Bivalvia,,,,,NA,156,count,Sediment_Grab,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,San Francisco Bay,2,38.1107,-122.049,"NAD83",NW Suisun,"c(-122.049, 38.1107)"
Suisun Bay (SU073S),SU073S,OpenWater1,2010-02-09,Mollusca,Bivalvia,,,,,NA,105,count,Sediment_Grab,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,San Francisco Bay,2,38.1107,-122.049,"NAD83",NW Suisun,"c(-122.049, 38.1107)"
Suisun Bay (SU073S),SU073S,OpenWater1,2010-02-09,Arthropoda,Malacostraca,,,,,NA,284,count,Sediment_Grab,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,San Francisco Bay,2,38.1107,-122.049,"NAD83",NW Suisun,"c(-122.049, 38.1107)"
Suisun Bay (SU073S),SU073S,OpenWater1,2010-02-09,Arthropoda,Malacostraca,,,,,NA,18,count,Sediment_Grab,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,San Francisco Bay,2,38.1107,-122.049,"NAD83",NW Suisun,"c(-122.049, 38.1107)"
Suisun Bay (SU073S),SU073S,OpenWater1,2010-02-09,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus lacustris,NA,1,count,Sediment_Grab,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,San Francisco Bay,2,38.1107,-122.049,"NAD83",NW Suisun,"c(-122.049, 38.1107)"
Suisun Bay (SU073S),SU073S,OpenWater1,2010-02-09,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,Grandidierella japonica,NA,9,count,Sediment_Grab,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,San Francisco Bay,2,38.1107,-122.049,"NAD83",NW Suisun,"c(-122.049, 38.1107)"
Suisun Bay (SU073S),SU073S,OpenWater1,2010-02-09,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,Grandidierella japonica,NA,2,count,Sediment_Grab,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,San Francisco Bay,2,38.1107,-122.049,"NAD83",NW Suisun,"c(-122.049, 38.1107)"
Suisun Bay (SU073S),SU073S,OpenWater1,2010-02-09,Annelida,Polychaeta,Sabellida,Sabellidae,Laonome,,NA,1,count,Sediment_Grab,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,San Francisco Bay,2,38.1107,-122.049,"NAD83",NW Suisun,"c(-122.049, 38.1107)"
Suisun Bay (SU073S),SU073S,OpenWater1,2010-02-09,Annelida,Polychaeta,,,,,NA,1,count,Sediment_Grab,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,San Francisco Bay,2,38.1107,-122.049,"NAD83",NW Suisun,"c(-122.049, 38.1107)"
Suisun Bay (SU073S),SU073S,OpenWater1,2010-02-09,Nemertea,,,,,,NA,1,count,Sediment_Grab,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,San Francisco Bay,2,38.1107,-122.049,"NAD83",NW Suisun,"c(-122.049, 38.1107)"
